order_month,total_orders,delivered_orders,delivery_rate_pct,monthly_revenue
2016-09,4,1,25.0,267.36
2016-10,324,265,81.8,49507.66
2016-12,1,1,100.0,10.9
2017-01,800,750,93.8,120312.87
2017-02,1780,1653,92.9,247303.02
2017-03,2682,2546,94.9,374344.3
2017-04,2404,2303,95.8,359927.23
2017-05,3700,3546,95.8,506071.14
2017-06,3245,3135,96.6,433038.6
2017-07,4026,3872,96.2,498031.48
2017-08,4331,4193,96.8,573971.68
2017-09,4285,4150,96.8,624401.69
2017-10,4631,4478,96.7,664219.43
2017-11,7544,7289,96.6,1010271.37
2017-12,5673,5513,97.2,743914.17
2018-01,7269,7069,97.2,950030.36
2018-02,6728,6555,97.4,844178.71
2018-03,7211,7003,97.1,983213.44
2018-04,6939,6798,98.0,996647.75
2018-05,6873,6749,98.2,996517.68
2018-06,6167,6099,98.9,865124.31
2018-07,6292,6159,97.9,895507.22
2018-08,6512,6351,97.5,854686.33
2018-09,16,0,0.0,145
2018-10,4,0,0.0,NULL
